location_id,addressLine1,city,state,zipCode,formattedAddress,county,longitude,latitude,addressLine2
0,511 John St,Bryan,OH,43506,"511 John St, Bryan, OH 43506",Williams,-84.570163,41.469595,Unknown
1,1067 Marlin Dr,Rockledge,FL,32955,"1067 Marlin Dr, Rockledge, FL 32955",Brevard,-80.746982,28.34244,Unknown
2,1136 Sullivan Rd,Ogden,UT,84403,"1136 Sullivan Rd, Apt 15, Ogden, UT 84403",Weber,-111.95033,41.20486,Apt 15
3,101 Trinity Lakes Dr,Sun City Center,FL,33573,"101 Trinity Lakes Dr, Apt 361, Sun City Center, FL 33573",Hillsborough,-82.355936,27.710284,Apt 361
4,7843 S Euclid Ave,Chicago,IL,60649,"7843 S Euclid Ave, Apt 1, Chicago, IL 60649",Cook,-87.576879,41.752132,Apt 1
5,2126 Flora Vis,San Antonio,TX,78224,"2126 Flora Vis, San Antonio, TX 78224",Bexar,-98.542543,29.336903,Unknown
6,4025 Chinaberry Dr,Garland,TX,75043,"4025 Chinaberry Dr, Garland, TX 75043",Dallas,-96.57005,32.840748,Unknown
7,2015 N Ruby St,Edinburg,TX,78541,"2015 N Ruby St, Edinburg, TX 78541",Hidalgo,-98.193662,26.326769,Unknown
8,1350 Carol Pl,Montgomery,IL,60538,"1350 Carol Pl, Montgomery, IL 60538",Kane,-88.297733,41.730462,Unknown
9,216 Harlem Ln,Catonsville,MD,21228,"216 Harlem Ln, Catonsville, MD 21228",Baltimore,-76.724256,39.282074,Unknown
10,2630 E 5th Ave,Columbus,OH,43219,"2630 E 5th Ave, Columbus, OH 43219",Franklin,-82.933711,39.985495,Unknown
11,10414 Newville Ave,Downey,CA,90241,"10414 Newville Ave, Downey, CA 90241",Los Angeles,-118.106444,33.937296,Unknown
12,535 Encinitas Blvd,Encinitas,CA,92024,"535 Encinitas Blvd, Ste 107, Encinitas, CA 92024",San Diego,-117.280456,33.046701,Ste 107
13,31548 Stoney Creek Dr,Lake Elsinore,CA,92532,"31548 Stoney Creek Dr, Lake Elsinore, CA 92532",Riverside,-117.302109,33.668709,Unknown
14,6515 Inway Dr,Spring,TX,77389,"6515 Inway Dr, Spring, TX 77389",Harris,-95.52079,30.1096,Unknown
15,41 Homestead Ln,Avon,CT,6001,"41 Homestead Ln, Avon, CT 06001",Hartford,-72.888215,41.780453,Unknown
16,22625 Ne 2nd St,Sammamish,WA,98074,"22625 Ne 2nd St, Sammamish, WA 98074",King,-122.037257,47.610486,Unknown
17,2134 Annette St,New Orleans,LA,70119,"2134 Annette St, New Orleans, LA 70119",Orleans Parish,-90.063842,29.979132,Unknown
18,12481 Canyonwind Rd,Riverside,CA,92503,"12481 Canyonwind Rd, Riverside, CA 92503",Riverside,-117.444762,33.875595,Unknown
19,19534 Stillhouse Dr,Tomball,TX,77375,"19534 Stillhouse Dr, Tomball, TX 77375",Harris,-95.607238,30.051174,Unknown
20,7962 Hanging Br,San Antonio,TX,78253,"7962 Hanging Br, San Antonio, TX 78253",Bexar,-98.802095,29.515228,Unknown
21,114 Severin Ave,Modesto,CA,95354,"114 Severin Ave, Modesto, CA 95354",Stanislaus,-120.969394,37.63886,Unknown
22,1640 San Damian Rd,Tallahassee,FL,32303,"1640 San Damian Rd, Tallahassee, FL 32303",Leon County,-84.323176,30.482989,Unknown
23,2975 Fairfield Dr N,Allentown,PA,18103,"2975 Fairfield Dr N, Allentown, PA 18103",Lehigh,-75.50646,40.568745,Unknown
24,1605 Buena Vista St,Mesquite,TX,75149,"1605 Buena Vista St, Mesquite, TX 75149",Dallas,-96.608678,32.782493,Unknown
25,7118 Hobson St,San Antonio,TX,78223,"7118 Hobson St, San Antonio, TX 78223",Bexar,-98.421457,29.355234,Unknown
26,3901 15th Ave S,Seattle,WA,98108,"3901 15th Ave S, Apt 6, Seattle, WA 98108",King,-122.313841,47.568702,Apt 6
27,1988 Superior St,Webster City,IA,50595,"1988 Superior St, Webster City, IA 50595",Hamilton,-93.815551,42.456793,Unknown
28,208 E 750 N,Bountiful,UT,84010,"208 E 750 N, Bountiful, UT 84010",Davis,-111.876029,40.896841,Unknown
29,708 Carlotta Ct,Fruita,CO,81521,"708 Carlotta Ct, Fruita, CO 81521",Mesa County,-108.713025,39.170909,Unknown
30,5720 Crown Hill Dr,Mint Hill,NC,28227,"5720 Crown Hill Dr, Mint Hill, NC 28227",Mecklenburg County,-80.651877,35.206049,Unknown
31,863 Smithfield Dr,Northfield,OH,44067,"863 Smithfield Dr, Apt 1506, Northfield, OH 44067",Summit,-81.569915,41.313565,Apt 1506
32,101 Tucker St,Lexington,VA,24450,"101 Tucker St, Lexington, VA 24450",Lexington City,-79.438794,37.784383,Unknown
33,2514 Ehrich St,Colorado Springs,CO,80904,"2514 Ehrich St, Colorado Springs, CO 80904",El Paso,-104.86888,38.840312,Unknown
34,3611 Jupiter Ave,Palmdale,CA,93550,"3611 Jupiter Ave, Palmdale, CA 93550",Los Angeles,-118.064412,34.568468,Unknown
35,23343 124th Ave,Rogers,MN,55374,"23343 124th Ave, Rogers, MN 55374",Hennepin,-93.57586354,45.18011776,Unknown
36,21999 W Sonora St,Buckeye,AZ,85326,"21999 W Sonora St, Buckeye, AZ 85326",Maricopa,-112.523712,33.432401,Unknown
37,1982 E Roanoke Dr,Boise,ID,83712,"1982 E Roanoke Dr, Boise, ID 83712",Ada,-116.167412,43.610099,Unknown
38,3231 151st St SW,Lynnwood,WA,98087,"3231 151st St SW, Lynnwood, WA 98087",Snohomish,-122.277747,47.861629,Unknown
39,17041 Carolyn Ln,North Fort Myers,FL,33917,"17041 Carolyn Ln, North Fort Myers, FL 33917",Lee,-81.782195,26.711942,Unknown
40,2641 Whispering Trl,Little Elm,TX,75068,"2641 Whispering Trl, Little Elm, TX 75068",Denton,-96.89225,33.174946,Unknown
41,406 Beech St,Bakersfield,CA,93304,"406 Beech St, Bakersfield, CA 93304",Kern,-119.034687,35.361799,Unknown
42,2918 Sand Pine Rd,Miramar Beach,FL,32550,"2918 Sand Pine Rd, Miramar Beach, FL 32550",Walton,-86.317077,30.407222,Unknown
43,129 Reena Dr,Daytona Beach,FL,32117,"129 Reena Dr, Daytona Beach, FL 32117",Volusia,-81.088236,29.234706,Unknown
44,1125 Sail Creek Dr,Orlando,FL,32824,"1125 Sail Creek Dr, Orlando, FL 32824",Orange,-81.36953,28.358021,Unknown
45,1451 Washington Ave,Bronx,NY,10456,"1451 Washington Ave, Apt 16H, Bronx, NY 10456",Bronx,-73.904014,40.83644,Apt 16H
46,1211 5th St SE,Cedar Rapids,IA,52401,"1211 5th St SE, Cedar Rapids, IA 52401",Linn,-91.655308,41.971352,Unknown
47,15103 Nelson Ave,La Puente,CA,91744,"15103 Nelson Ave, La Puente, CA 91744",Los Angeles,-117.963951,34.031284,Unknown
48,4712 W Powell Blvd,Gresham,OR,97030,"4712 W Powell Blvd, Unit 235, Gresham, OR 97030",Multnomah,-122.479494,45.491211,Unit 235
49,33 Spring St,South Hadley,MA,1075,"33 Spring St, Apt B, South Hadley, MA 01075",Hampshire,-72.588142,42.213978,Apt B
50,905 Terrace Ave,Baton Rouge,LA,70802,"905 Terrace Ave, Baton Rouge, LA 70802",East Baton Rouge,-91.181592,30.431855,Unknown
51,2881 State Hwy,Tyler,TX,75704,"2881 State Hwy, 110 N Lot 17, Tyler, TX 75704",Smith,-95.356117,32.371508,110 N Lot 17
52,Diagonal Rd,Milford,UT,84751,"Diagonal Rd, Milford, UT 84751",Beaver County,-112.962057,38.221728,Unknown
53,4625 S Drexel Blvd,Chicago,IL,60653,"4625 S Drexel Blvd, Apt 205, Chicago, IL 60653",Cook,-87.60381,41.810765,Apt 205
54,4122 Heyward St,Cincinnati,OH,45205,"4122 Heyward St, Cincinnati, OH 45205",Hamilton County,-84.58153,39.122569,Unknown
55,2756 Bonita Dr,Valparaiso,IN,46385,"2756 Bonita Dr, Valparaiso, IN 46385",Porter,-87.07989,41.442455,Unknown
56,1891 Suntree Ln,Simi Valley,CA,93063,"1891 Suntree Ln, Simi Valley, CA 93063",Ventura,-118.690541,34.270239,Unknown
57,2648 Arrow Point Blvd,Eagle Pass,TX,78852,"2648 Arrow Point Blvd, Eagle Pass, TX 78852",Maverick,-100.476306,28.731155,Unknown
58,6631 Frank Ave,Jurupa Valley,CA,91752,"6631 Frank Ave, Jurupa Valley, CA 91752",Riverside,-117.539033,33.967103,Unknown
59,4717 Sharon Rd,Charlotte,NC,28210,"4717 Sharon Rd, Ste 200, Charlotte, NC 28210",Mecklenburg,-80.830815,35.147646,Ste 200
60,2516 Deep Eddy Trl,Keller,TX,76248,"2516 Deep Eddy Trl, Keller, TX 76248",Tarrant,-97.19315,32.918794,Unknown
61,4045 2nd St,Farmington,MO,63640,"4045 2nd St, Farmington, MO 63640",Saint Francois,-90.457207,37.764366,Unknown
62,5800 Granite Pkwy,Plano,TX,75024,"5800 Granite Pkwy, Ste 410, Plano, TX 75024",Collin,-96.820208,33.087731,Ste 410
63,6750 Caporetto Ln,North Las Vegas,NV,89084,"6750 Caporetto Ln, Unit 201, North Las Vegas, NV 89084",Clark,-115.204183,36.282357,Unit 201
64,1311 Scenic Ct,Auburn,GA,30011,"1311 Scenic Ct, Auburn, GA 30011",Barrow,-83.826085,33.977765,Unknown
65,220 Sneden Pl,Spring Valley,NY,10977,"220 Sneden Pl, Unit 220, Spring Valley, NY 10977",Rockland County,-74.044821,41.122778,Unit 220
66,1903 Miraplaza Ct,Santa Clara,CA,95051,"1903 Miraplaza Ct, Apt 8, Santa Clara, CA 95051",Santa Clara,-121.998193,37.357266,Apt 8
67,1615 Ne 173rd St,North Miami Beach,FL,33162,"1615 Ne 173rd St, North Miami Beach, FL 33162",Miami-Dade,-80.168051,25.93524,Unknown
68,162 Beacon St,Gallatin,TN,37066,"162 Beacon St, Gallatin, TN 37066",Sumner,-86.478763,36.411336,Unknown
69,962 Bentstation Ln,Lake Mary,FL,32746,"962 Bentstation Ln, # 06-204, Lake Mary, FL 32746",Seminole,-81.357902,28.765026,# 06-204
70,6543 Bob O Link Dr,Dallas,TX,75214,"6543 Bob O Link Dr, Dallas, TX 75214",Dallas,-96.748288,32.831561,Unknown
71,94 Mulberry Rd,Deerfield,IL,60015,"94 Mulberry Rd, Deerfield, IL 60015",Lake,-87.830681,42.153656,Unknown
72,2710 E Timberlane St,Wichita,KS,67216,"2710 E Timberlane St, Wichita, KS 67216",Sedgwick,-97.302358,37.647259,Unknown
73,504 Meeting St,Charleston,SC,29403,"504 Meeting St, Charleston, SC 29403",Charleston,-79.940643,32.796868,Unknown
74,444 W Commerce St,Dallas,TX,75208,"444 W Commerce St, Apt 1202, Dallas, TX 75208",Dallas,-96.83033,32.772388,Apt 1202
75,3123 Biloxi Dr,Glen Carbon,IL,62034,"3123 Biloxi Dr, Glen Carbon, IL 62034",Madison County,-89.973838,38.75532,Unknown
76,2120 Denton Dr,Austin,TX,78758,"2120 Denton Dr, Ste 104, Austin, TX 78758",Travis,-97.715159,30.386854,Ste 104
77,2705 Knob Creek Ln,Knoxville,TN,37912,"2705 Knob Creek Ln, Knoxville, TN 37912",Knox,-84.004143,35.994959,Unknown
78,13716 Sw 11th St,Miami,FL,33184,"13716 Sw 11th St, Miami, FL 33184",Miami-Dade,-80.417362,25.756839,Unknown
79,319 Eland Dr,San Antonio,TX,78213,"319 Eland Dr, San Antonio, TX 78213",Bexar,-98.542682,29.493363,Unknown
80,200 Ridgeway St,Saint Joseph,MI,49085,"200 Ridgeway St, Saint Joseph, MI 49085",Berrien,-86.485612,42.116593,Unknown
81,5521 Grasmere Ave,Maple Heights,OH,44137,"5521 Grasmere Ave, Maple Heights, OH 44137",Cuyahoga,-81.560062,41.41127,Unknown
82,10976 Stafford Cir S,Boynton Beach,FL,33436,"10976 Stafford Cir S, Boynton Beach, FL 33436",Palm Beach,-80.122784,26.514032,Unknown
83,4106 Teriwood Ave,Orlando,FL,32812,"4106 Teriwood Ave, Orlando, FL 32812",Orange,-81.332985,28.489766,Unknown
84,47 Park St,Taunton,MA,2780,"47 Park St, Taunton, MA 02780",Bristol,-71.097674,41.906404,Unknown
85,440 Sarah Ln,Coldwater,MI,49036,"440 Sarah Ln, Coldwater, MI 49036",Branch County,-84.992897,41.836428,Unknown
86,Tbd Sw 133rd Ln,Ocala,FL,34473,"Tbd Sw 133rd Ln, Ocala, FL 34473",Marion County,-82.1915809,29.02851238,Unknown
87,909 Norse St,High Point,NC,27265,"909 Norse St, High Point, NC 27265",Guilford,-80.031007,36.02654,Unknown
88,PO Box 15091,Winston Salem,NC,27113,"PO Box 15091, Winston Salem, NC 27113",Forsyth,-80.2739,36.0911,Unknown
89,330 Banuelo Dr,Henderson,NV,89014,"330 Banuelo Dr, Henderson, NV 89014",Clark,-115.070883,36.049942,Unknown
90,9290 Starcross Ln,Las Vegas,NV,89147,"9290 Starcross Ln, Las Vegas, NV 89147",Clark,-115.294535,36.124063,Unknown
91,4744 Winter St,Fort Wayne,IN,46806,"4744 Winter St, Fort Wayne, IN 46806",Allen,-85.115807,41.040832,Unknown
92,243 Shell Mound Ct,West Columbia,SC,29170,"243 Shell Mound Ct, Unit 47, West Columbia, SC 29170",Lexington County,-81.165406,33.9568,Unit 47
93,134 Magnolia Farms Dr,Milner,GA,30257,"134 Magnolia Farms Dr, Milner, GA 30257",Lamar County,-84.109415,33.187158,Unknown
94,7506 Stafford Rd,Charleston,SC,29406,"7506 Stafford Rd, Lot 4, Charleston, SC 29406",Charleston,-80.043147,32.937831,Lot 4
95,1575 Tonawanda Ave,Akron,OH,44305,"1575 Tonawanda Ave, Akron, OH 44305",Summit,-81.462731,41.078802,Unknown
96,650 S Xenon Ct,Lakewood,CO,80228,"650 S Xenon Ct, Lakewood, CO 80228",Jefferson,-105.140652,39.704589,Unknown
97,4115 W Bolton Dr,Eagle,ID,83616,"4115 W Bolton Dr, Eagle, ID 83616",Ada,-116.405053,43.665448,Unknown
98,1208 Remington St,Graham,TX,76450,"1208 Remington St, Graham, TX 76450",Young,-98.576067,33.108997,Unknown
99,1419 2nd Ave,Fairview Heights,IL,62208,"1419 2nd Ave, Fairview Heights, IL 62208",Saint Clair,-90.048979,38.598125,Unknown
100,2170 Highland Gate Dr,Cumming,GA,30040,"2170 Highland Gate Dr, Cumming, GA 30040",Forsyth,-84.169655,34.168693,Unknown
101,690 Sw 1st Ct,Miami,FL,33130,"690 Sw 1st Ct, Apt 1716, Miami, FL 33130",Miami-Dade,-80.196231,25.767901,Apt 1716
102,1306 Heidt Ave Ste C,Savannah,GA,31408,"1306 Heidt Ave Ste C, Savannah, GA 31408",Chatham,-81.157764,32.090258,Unknown
103,1457 Fence Post Dr,Haslet,TX,76052,"1457 Fence Post Dr, Haslet, TX 76052",Tarrant,-97.392706,32.982504,Unknown
104,295 S Main St,Marthaville,LA,71450,"295 S Main St, Marthaville, LA 71450",Natchitoches,-93.397513,31.738631,Unknown
105,6210 Limestone Ln,Midlothian,TX,76065,"6210 Limestone Ln, Midlothian, TX 76065",Ellis,-96.967489,32.413512,Unknown
106,2206 Driftwood Cir,West Palm Beach,FL,33410,"2206 Driftwood Cir, West Palm Beach, FL 33410",Palm Beach,-80.071178,26.857262,Unknown
107,385 Vernon Ave,New York,NY,11206,"385 Vernon Ave, Apt 4B, New York, NY 11206",Kings,-73.935381,40.696441,Apt 4B
108,372 White St,Orange,NJ,7050,"372 White St, Apt A5, Orange, NJ 07050",Essex,-74.230245,40.77599,Apt A5
109,4343 Plumeria Ave,Baytown,TX,77521,"4343 Plumeria Ave, Baytown, TX 77521",Harris,-94.994032,29.817664,Unknown
110,3838 E Elmwood St,Mesa,AZ,85205,"3838 E Elmwood St, Mesa, AZ 85205",Maricopa,-111.748518,33.43253,Unknown
111,18W137 Kirkland Ln,Villa Park,IL,60181,"18W137 Kirkland Ln, Villa Park, IL 60181",Dupage,-87.981294,41.857634,Unknown
112,375 S Mcmullen Booth Rd,Clearwater,FL,33759,"375 S Mcmullen Booth Rd, Apt 95, Clearwater, FL 33759",Pinellas,-82.706707,27.961971,Apt 95
113,5855 N Sheridan Rd,Chicago,IL,60660,"5855 N Sheridan Rd, Apt 19A, Chicago, IL 60660",Cook,-87.654693,41.988741,Apt 19A
114,1621 E 79th St,Cleveland,OH,44103,"1621 E 79th St, Cleveland, OH 44103",Cuyahoga,-81.633146,41.511436,Unknown
115,1203 N Grant St,Roma,TX,78584,"1203 N Grant St, Roma, TX 78584",Starr,-99.019249,26.410452,Unknown
116,3204 Wesley Ave,Ocean City,NJ,8226,"3204 Wesley Ave, Unit 1, Ocean City, NJ 08226",Cape May,-74.607384,39.252468,Unit 1
117,2481 Freetown Dr,Reston,VA,20191,"2481 Freetown Dr, Reston, VA 20191",Fairfax,-77.374413,38.929145,Unknown
118,Fairway Dr,Yadkinville,NC,27055,"Fairway Dr, Yadkinville, NC 27055",Yadkin,-80.661599,36.180277,Unknown
119,4928 W 112th St,Inglewood,CA,90304,"4928 W 112th St, Inglewood, CA 90304",Los Angeles,-118.364336,33.932541,Unknown
