id,location_id,sales_id,features_id,yearBuilt,assessorID,legalDescription,ownerOccupied,propertyType,taxAssessment,propertyTaxes,subdivision,zoning
"511-John-St,-Bryan,-OH-43506",0,0,0,1959.0,063-190-07-006.000,LOT 36 CONNINS HOME ACRES 030-11740-000,1.0,Single Family,"{'2022': {'value': 36510, 'land': 10820, 'improvements': 25690}}",{'2021': {'total': 1799}},Unknown,Unknown
"1067-Marlin-Dr,-Rockledge,-FL-32955",1,1,1,1966.0,25-36-05-52-00008.0-0010.00,MARLIN SUBD LOT 10 BLK 8,0.0,Single Family,"{'2021': {'value': 104510, 'land': 25000, 'improvements': 79510}, '2022': {'value': 154780, 'land': 40000, 'improvements': 114780}}","{'2021': {'total': 1830}, '2022': {'total': 2121}}",MARLIN SUBD,R2
"1136-Sullivan-Rd,-Apt-15,-Ogden,-UT-84403",2,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"101-Trinity-Lakes-Dr,-Apt-361,-Sun-City-Center,-FL-33573",3,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"7843-S-Euclid-Ave,-Apt-1,-Chicago,-IL-60649",4,3,3,1925.0,20-25-331-015,DIST:70 CITY/MUNI/TWP:HYDE PARK SEC/TWN/RNG/MER:SEC 25 TWN 38N RNG 14E,1.0,Apartment,"{'2020': {'value': 14447, 'land': 3402, 'improvements': 11045}}",{'2020': {'total': 2527}},SOUTHFIELD,Unknown
"2126-Flora-Vis,-San-Antonio,-TX-78224",5,4,4,2016.0,14196-009-0390,"NCB 14196 (VILLA DEL SOL UT-9 BSL), BLOCK 9 LOT 39 2012) PER PLAT 9633/174 REMOVING SET BACK LINES ONLY",1.0,Single Family,"{'2020': {'value': 214180, 'land': 25730, 'improvements': 188450}, '2021': {'value': 226400, 'land': 32260, 'improvements': 194140}, '2022': {'value': 278030, 'land': 38630, 'improvements': 239400}}","{'2019': {'total': 4997}, '2021': {'total': 5708}, '2022': {'total': 5710}}",NCB 14196 (VILLA DEL SOL UT-9 BSL),Unknown
"4025-Chinaberry-Dr,-Garland,-TX-75043",6,5,5,2002.0,26505800020340000,RUSTIC OAKS ESTATES 1 BLK 2 LT 34 INT202300058468 DD03272023 CO-DC 5058000203400 1CG50580002,1.0,Single Family,"{'2020': {'value': 251020, 'land': 35000, 'improvements': 216020}, '2022': {'value': 308890, 'land': 50000, 'improvements': 258890}, '2023': {'value': 308890, 'land': 50000, 'improvements': 258890}}","{'2020': {'total': 5831}, '2022': {'total': 7626}, '2023': {'total': 7068}}",RUSTIC OAKS ESTATES,Z239
"2015-N-Ruby-St,-Edinburg,-TX-78541",7,6,6,2001.0,R4690-01-000-0024-00,RUSSELL HEIGHTS PH 1 LOT 24,0.0,Single Family,"{'2022': {'value': 118590, 'land': 30662, 'improvements': 87928}}",{'2021': {'total': 3211}},RUSSELL HEIGHTS PH 1 - SEB,RS
"1350-Carol-Pl,-Montgomery,-IL-60538",8,7,7,1958.0,15-35-302-013,MARVIRAY MANOR LOT 102 LOT DIMENSIONS: 60 X 140 APPROX LOT SQ FT 8400 SUBDIVISION: MARVIRAY MANOR RANGE CODE: 001,1.0,Single Family,"{'2019': {'value': 45371, 'land': 9700, 'improvements': 35671}, '2021': {'value': 52720, 'land': 11271, 'improvements': 41449}, '2022': {'value': 56626, 'land': 12106, 'improvements': 44520}}","{'2019': {'total': 3099}, '2021': {'total': 3327}, '2022': {'total': 3387}}",SUBDIVISION,Unknown
"216-Harlem-Ln,-Catonsville,-MD-21228",9,8,8,2016.0,01-2500009558,0.147 AC 216 HARLEM LN ES BOOTH PROPERTY,1.0,Single Family,"{'2020': {'value': 261400}, '2022': {'value': 278933}, '2023': {'value': 288467}}","{'2020': {'total': 3168}, '2022': {'total': 3141}, '2023': {'total': 2057}}",BOOTH PROP,Unknown
"2630-E-5th-Ave,-Columbus,-OH-43219",10,9,9,1956.0,010-020577,E 5TH AVE NORTH BEXLEY VIEW LOT 10,1.0,Single Family,"{'2019': {'value': 16280, 'land': 1610, 'improvements': 14670}, '2021': {'value': 18030, 'land': 1790, 'improvements': 16240}}","{'2019': {'total': 1012}, '2021': {'total': 937}}",NORTH BEXLEY VIEW SUB,Unknown
"10414-Newville-Ave,-Downey,-CA-90241",11,10,10,1953.0,6287-004-003,TRACT # 17563 LOT 20,1.0,Single Family,"{'2020': {'value': 573686, 'land': 402987, 'improvements': 170699}}",{'2020': {'total': 6996}},17563,DOR17500*
"535-Encinitas-Blvd,-Ste-107,-Encinitas,-CA-92024",12,11,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"31548-Stoney-Creek-Dr,-Lake-Elsinore,-CA-92532",13,12,11,2000.0,363-343-005,.32 ACRES IN LOT 99 MB 196/022 TR 20705,1.0,Single Family,"{'2019': {'value': 305904, 'land': 75029, 'improvements': 230875}, '2022': {'value': 499823, 'land': 103056, 'improvements': 396767}, '2023': {'value': 509819, 'land': 105117, 'improvements': 404702}}","{'2019': {'total': 6705}, '2022': {'total': 8653}, '2023': {'total': 8770}}",Unknown,RR
"6515-Inway-Dr,-Spring,-TX-77389",14,13,12,1978.0,1050790000034,LT 34 BLK 17 017*N5959000-005-017-034 NORTHAMPTON SEC 5 2ND R/P,1.0,Single Family,"{'2020': {'value': 266166, 'land': 44799, 'improvements': 221367}, '2021': {'value': 300382, 'land': 59732, 'improvements': 240650}, '2022': {'value': 368823, 'land': 74665, 'improvements': 294158}, '2023': {'value': 400981, 'land': 74665, 'improvements': 326316}}","{'2020': {'total': 5147}, '2021': {'total': 7320}, '2022': {'total': 7382}}",NORTHAMPTON,Unknown
"41-Homestead-Ln,-Avon,-CT-06001",15,14,13,1979.0,AVON M:23 L:2790041,LOT:2790041 CITY/MUNI/TWP:AVON,1.0,Single Family,"{'2020': {'value': 264090, 'land': 94500, 'improvements': 169590}, '2022': {'value': 264090, 'land': 94500, 'improvements': 169590}}","{'2020': {'total': 8689}, '2022': {'total': 9140}}",Unknown,R30
